symbol,D1_n,D1_ann_mean,D1_ann_vol,D1_skew,D1_ex_kurt,D1_sharpe
BTCUSDT,2334,0.36945536398966333,0.6222769542896881,-1.5724473748709176,27.051089883171034,0.5937153247325162
ETHUSDT,2334,0.4356066127224132,0.8319036556789966,-1.1574923675394175,18.309299984976764,0.523626275409107
SOLUSDT,2112,0.5633505413815998,1.1616113650215913,-0.21312532841277892,8.064390380863891,0.4849733381965737
EUR_USD,1657,0.005736703382676357,0.07460121486442167,0.1663949547017918,1.6516400095660613,0.07689825685951755
GBP_USD,1657,0.0033728962155657204,0.0878378407630125,-0.29316339176867207,4.202378227867998,0.038399124867673294
USD_JPY,1658,0.05819508866638481,0.09505819734484376,-0.42910784742516145,4.531736864625786,0.6122048417904432
XAU_USD,1648,0.16538270617499462,0.17513642975531782,-0.655378142285051,5.86770566176601,0.944307854202863
SPX500_USD,1651,0.12650418433331315,0.1996427520189966,-0.3566062831349022,13.903326730705349,0.6336527775437393
NAS100_USD,1651,0.18299994662552527,0.24591363857981965,-0.2034951366696965,6.89982144599859,0.7441634700798687
US30_USD,1651,0.08533730314316901,0.19254585799943397,-0.5005172376138659,20.46244085143006,0.44320508386848745
UK100_GBP,1612,0.04909648806743291,0.1785993654584226,-1.465081208394577,20.68739193010345,0.27489732643458037
DE30_EUR,1627,0.09489649035596334,0.21148960871139996,-1.1448329814512817,17.742497340562224,0.44870521504184013
JP225_USD,1651,0.14990401817906518,0.22659980096847096,-0.4518345657793135,7.701925965151144,0.6615364070859127
