symbol,D1_n,D1_ann_mean,D1_ann_vol,D1_skew,D1_ex_kurt,D1_sharpe,H1_n,H1_ann_vol,H1_ex_kurt,H1_sharpe,D1_q99_over_med,D1_n_5sigma,D1_max_drawup,D1_max_drawdown,H1_q99_over_med,H1_n_5sigma,H1_acf_abs_lag1,H1_acf_abs_lag5,H1_acf_abs_lag24,H1_acf_abs_lag168,D1_ar1_rv30,D1_hurst_abs_RS
BTCUSDT,2334,0.36945536398966333,0.6222769542896881,-1.5724473748709176,27.051089883171034,0.5937153247325162,56018,0.6193938453172554,53.87454242034459,0.5997158187011536,7.539837656263002,3,0.17844855970428242,-0.5026069427414583,10.173817237545894,226,0.29334452541626926,0.20439936702708164,0.1739503816434218,0.14155641220252047,0.9857716671049304,0.7269903657344498
ETHUSDT,2334,0.4356066127224132,0.8319036556789966,-1.1574923675394175,18.309299984976764,0.523626275409107,56018,0.799029092559964,28.82710456796719,0.5482778252319906,7.0803236354093695,5,0.23375019374596473,-0.5905343858695513,9.63073677080214,211,0.2812205223920689,0.20816322820150399,0.18163564377685754,0.14606987150658726,0.9885096001136819,0.7139516849084659
SOLUSDT,2112,0.5633505413815998,1.1616113650215913,-0.21312532841277892,8.064390380863891,0.4849733381965737,50672,1.219856990697319,19.32319636453136,0.47870178268499874,7.2313473102942725,5,0.37755351681090543,-0.549007773323229,9.174783305338288,193,0.31714471759625995,0.24483533730264692,0.22623090289475403,0.1464441240816902,0.9895116328756145,0.7093213196037498
EUR_USD,1657,0.005736703382676357,0.07460121486442167,0.1663949547017918,1.6516400095660613,0.07689825685951755,39780,0.07698157003624687,15.02720101720208,0.06701731398783478,5.282264900874901,0,0.022890079905801136,-0.02065936752370416,8.676887224105531,159,0.2522096116913371,0.11999442521945715,0.2147982108365281,0.18926658989749454,0.9917744070136607,0.7823775819902822
GBP_USD,1657,0.0033728962155657204,0.0878378407630125,-0.29316339176867207,4.202378227867998,0.038399124867673294,39779,0.0908771021185103,41.09608193583044,0.02254766440311985,5.3449655047372895,3,0.03074764266248714,-0.03758814742175362,8.735118381952939,159,0.28990934161066173,0.15891914019955766,0.23475026528286067,0.19847595819659206,0.9940220548363252,0.7691105890329751
USD_JPY,1658,0.05819508866638481,0.09505819734484376,-0.42910784742516145,4.531736864625786,0.6122048417904432,39781,0.09220035524360672,42.390569714466146,0.6294577377447269,6.467036610252193,4,0.03143422262996598,-0.03881177492646337,8.972631934697022,152,0.24972801836391473,0.14330630251986667,0.178821738528191,0.1282758252233519,0.9905018082824265,0.772233865557512
XAU_USD,1648,0.16538270617499462,0.17513642975531782,-0.655378142285051,5.86770566176601,0.944307854202863,37783,0.1792178192439459,29.836527939785242,0.9722722024085575,6.282764692619531,3,0.05950331443651358,-0.09258147539047812,9.431487102194001,167,0.2991052857037917,0.17021994479035474,0.2021100149641038,0.0721794773061022,0.9912447403704325,0.7388701291480682
SPX500_USD,1651,0.12650418433331315,0.1996427520189966,-0.3566062831349022,13.903326730705349,0.6336527775437393,37708,0.20535917396676973,49.99424944766196,0.6530345898757041,7.24012270056259,7,0.09760391352265252,-0.11275142413277717,12.370785417439514,180,0.37187022504736766,0.2696734022050446,0.3124898822173959,0.11932837054041377,0.9953186319203109,0.8445164075122834
NAS100_USD,1651,0.18299994662552527,0.24591363857981965,-0.2034951366696965,6.89982144599859,0.7441634700798687,37707,0.25053159714610806,34.07211122267783,0.7766097321749138,5.838765086888413,5,0.11781812234975853,-0.11222182088867427,11.578968219767013,155,0.32826104125605715,0.20779552084252317,0.26706154854544895,0.06708780798010038,0.9940053455494954,0.8373544090560869
US30_USD,1651,0.08533730314316901,0.19254585799943397,-0.5005172376138659,20.46244085143006,0.44320508386848745,37710,0.1965395037292069,57.536255024895844,0.46475008630660575,7.6208435126714456,9,0.11182363234605752,-0.11990114682229525,13.020832039223954,182,0.37129381844585047,0.27024910054621004,0.31950638322556646,0.12865215532336338,0.9956511502567882,0.7932285422505444
UK100_GBP,1612,0.04909648806743291,0.1785993654584226,-1.465081208394577,20.68739193010345,0.27489732643458037,32145,0.19315890399579064,81.42945416496136,0.31441245688465047,8.14462537983748,8,0.08824871598159945,-0.11334000559182122,9.525653637102458,126,0.3136898329541578,0.23695280598640614,0.2248356235358201,0.15621865996299988,0.995898619827766,0.7615152729840194
DE30_EUR,1627,0.09489649035596334,0.21148960871139996,-1.1448329814512817,17.742497340562224,0.44870521504184013,33212,0.22392460474769155,52.18082950798016,0.5127394396278381,7.78686383727948,6,0.09817514083227685,-0.13510297344150857,10.202541562696965,129,0.3035683596088521,0.23574227609616424,0.2208188895724505,0.18722943902324468,0.9950424699886952,0.8060896991908815
JP225_USD,1651,0.14990401817906518,0.22659980096847096,-0.4518345657793135,7.701925965151144,0.6615364070859127,37765,0.23211018282827187,33.48520563149985,0.6825172100862243,7.187757126668788,5,0.08940139580806772,-0.11664564603115757,8.866532129549583,148,0.26946524695785895,0.1875209900176989,0.22688598712313274,0.0976703425141029,0.9927644992946172,0.7601976913790751
