symbol,H1_q99_over_med,H1_n_5sigma,H1_max_drawup,H1_max_drawdown
BTCUSDT,10.173817237545894,226,0.16028033154146293,-0.20103321417478348
ETHUSDT,9.63073677080214,211,0.1398249393198281,-0.2341131845956701
SOLUSDT,9.174783305338288,193,0.2673512406875648,-0.214233873496525
EUR_USD,8.676887224105531,159,0.017288280765886427,-0.013831807590364483
GBP_USD,8.735118381952939,159,0.018712938658805772,-0.036956316923076174
USD_JPY,8.972631934697022,152,0.016547768063587043,-0.027317156672721055
XAU_USD,9.431487102194001,167,0.026886653639116354,-0.058773495595310976
SPX500_USD,12.370785417439514,180,0.06551092672713921,-0.046887325097240584
NAS100_USD,11.578968219767013,155,0.0743581184496005,-0.05421115793838993
US30_USD,13.020832039223954,182,0.05726377182012321,-0.05466455354144628
UK100_GBP,9.525653637102458,126,0.04878830895242103,-0.07486475396174441
DE30_EUR,10.202541562696965,129,0.0671425765940512,-0.0714177088944119
JP225_USD,8.866532129549583,148,0.06810624821604172,-0.05960252539675892
