symbol,hurst_rs_logret,n,classification
BTCUSDT,0.5855571550790035,2334,trending
ETHUSDT,0.5848596238140082,2334,trending
SOLUSDT,0.5814300659803348,2112,trending
EUR_USD,0.5630699946705516,1320,trending
GBP_USD,0.572717295534715,1320,trending
USD_JPY,0.6223857523183418,1321,trending
XAU_USD,0.5550759183132575,1311,trending
SPX500_USD,0.5368218798028831,1314,random
NAS100_USD,0.5755828776081235,1314,trending
US30_USD,0.5288277660125528,1314,random
UK100_GBP,0.5019871152355391,1276,random
DE30_EUR,0.503029635947322,1289,random
JP225_USD,0.557917615985483,1314,trending
