symbol,n_runs,mean_runlen,max_runlen,geom_mean,share_up,P_L_ge_1,geom_P_ge_1,P_L_ge_2,geom_P_ge_2,P_L_ge_3,geom_P_ge_3,P_L_ge_4,geom_P_ge_4,P_L_ge_5,geom_P_ge_5,P_L_ge_6,geom_P_ge_6,P_L_ge_7,geom_P_ge_7
BTCUSDT,1252,1.8642172523961662,8,2.0,0.5098543273350471,1.0,1.0,0.4672523961661342,0.5,0.21006389776357828,0.25,0.09904153354632587,0.125,0.04552715654952077,0.0625,0.0231629392971246,0.03125,0.013578274760383386,0.015625
ETHUSDT,1232,1.8944805194805194,13,2.0,0.5184233076263924,1.0,1.0,0.47564935064935066,0.5,0.21996753246753248,0.25,0.1038961038961039,0.125,0.04788961038961039,0.0625,0.025162337662337664,0.03125,0.00974025974025974,0.015625
SOLUSDT,1057,1.9943235572374645,9,2.0,0.4995256166982922,1.0,1.0,0.5004730368968779,0.5,0.26490066225165565,0.25,0.12298959318826869,0.125,0.05771050141911069,0.0625,0.0293282876064333,0.03125,0.010406811731315043,0.015625
EUR_USD,689,1.9114658925979682,8,2.0,0.4882308276385725,1.0,1.0,0.46734397677793904,0.5,0.22786647314949202,0.25,0.12336719883889695,0.125,0.06386066763425254,0.0625,0.018867924528301886,0.03125,0.00725689404934688,0.015625
GBP_USD,646,2.043343653250774,10,2.0,0.5022727272727273,1.0,1.0,0.5154798761609907,0.5,0.2585139318885449,0.25,0.13312693498452013,0.125,0.07430340557275542,0.0625,0.029411764705882353,0.03125,0.018575851393188854,0.015625
USD_JPY,670,1.9656716417910447,10,2.0,0.5353075170842825,1.0,1.0,0.5044776119402985,0.5,0.2253731343283582,0.25,0.12238805970149254,0.125,0.06417910447761194,0.0625,0.025373134328358207,0.03125,0.011940298507462687,0.015625
XAU_USD,706,1.8569405099150142,10,2.0,0.5446224256292906,1.0,1.0,0.46742209631728043,0.5,0.2096317280453258,0.25,0.09348441926345609,0.125,0.043909348441926344,0.0625,0.025495750708215296,0.03125,0.012747875354107648,0.015625
SPX500_USD,658,1.993920972644377,11,2.0,0.5304878048780488,1.0,1.0,0.49544072948328266,0.5,0.25379939209726443,0.25,0.11702127659574468,0.125,0.06382978723404255,0.0625,0.03343465045592705,0.03125,0.016717325227963525,0.015625
NAS100_USD,688,1.9084302325581395,8,2.0,0.5323686214775324,1.0,1.0,0.4694767441860465,0.5,0.24127906976744187,0.25,0.1119186046511628,0.125,0.055232558139534885,0.0625,0.023255813953488372,0.03125,0.005813953488372093,0.015625
US30_USD,658,1.9954407294832828,9,2.0,0.511043412033511,1.0,1.0,0.49544072948328266,0.5,0.25835866261398177,0.25,0.12462006079027356,0.125,0.06231003039513678,0.0625,0.030395136778115502,0.03125,0.0182370820668693,0.015625
UK100_GBP,655,1.9435114503816795,8,2.0,0.5223880597014925,1.0,1.0,0.49312977099236643,0.5,0.23511450381679388,0.25,0.10381679389312977,0.125,0.059541984732824425,0.0625,0.02900763358778626,0.03125,0.016793893129770993,0.015625
DE30_EUR,645,1.9953488372093022,12,2.0,0.5268065268065268,1.0,1.0,0.5038759689922481,0.5,0.2496124031007752,0.25,0.09457364341085271,0.125,0.05736434108527132,0.0625,0.043410852713178294,0.03125,0.023255813953488372,0.015625
JP225_USD,678,1.9365781710914454,10,2.0,0.5118050266565118,1.0,1.0,0.4896755162241888,0.5,0.2359882005899705,0.25,0.10029498525073746,0.125,0.05014749262536873,0.0625,0.030973451327433628,0.03125,0.016224188790560472,0.015625
