label,FULL_sharpe,FULL_ret,FULL_vol,FULL_dd,IS_sharpe,IS_ret,IS_vol,IS_dd,OOS_sharpe,OOS_ret,OOS_vol,OOS_dd
EVE_XAU,1.5043955956329689,0.1080831390584971,0.07184489197671542,-0.09712586870215034,0.9283264674589304,0.04276827361933473,0.04607029436142498,-0.09712586870215034,2.152526238459659,0.21731401626700456,0.10095766192495463,-0.08491537243193359
WED_BTC,0.8230016998924888,0.03759748110966103,0.04568335777990799,-0.061472687487337585,0.7287309724528015,0.036449024756757674,0.05001712035660513,-0.061472687487337585,1.0585743885117567,0.03955897282173031,0.03737004527130684,-0.04101602669228144
WED_ETH,0.8316522229299668,0.03856825974692207,0.04637546643120065,-0.051868938512091955,0.7067072277523376,0.035347460467371423,0.05001712035660513,-0.051868938512091955,1.1114679868829451,0.04399267073993224,0.03958069081531302,-0.03800694904734536
WED_SOL,0.42889335032444853,0.016927419460097008,0.039467665906435204,-0.08374833317459807,0.3046459703062619,0.014026821456567303,0.04604302312768516,-0.08374833317459807,0.8751060846476684,0.021792179762858424,0.024902329152050522,-0.0190356148352262
D1REV_NAS,0.7176532512366639,0.026966131483853586,0.03757543275584052,-0.034025286769945096,0.7347568520578676,0.03092644380911847,0.04209071847714158,-0.034025286769945096,0.715051710863,0.02038136047309515,0.02850333781943794,-0.025477483547058366
D1REV_UK,0.6463428039475734,0.02310432523849237,0.035746240381081776,-0.03819044277051453,0.7572200581022518,0.031470170557802594,0.041560138589927575,-0.029638093224896522,0.39860395815296407,0.009155778509711549,0.022969612625366915,-0.024303891351189155
D1REV_SPX,0.3288714884873662,0.012084931744553778,0.036746669041266035,-0.051430469157258685,0.3179562133521303,0.013379687396505644,0.04208028286488587,-0.051430469157258685,0.3898624417609468,0.009935894765028399,0.0254856423720878,-0.024372843544841927
TSMOM,1.1209598200005324,0.05840132648801337,0.0520993932574547,-0.07462516896834126,1.3107667683652255,0.06556077921276185,0.05001712035660513,-0.07462516896834126,0.8391097585076668,0.04650842070809945,0.0554259085138199,-0.05028482436357773
XSMOM,0.8624480351524262,0.037241400914542894,0.04318103746153352,-0.031653398748727746,0.7392206776692756,0.03614310911821973,0.04889353099831715,-0.031653398748727746,1.2444752800104313,0.03911868629617486,0.0314338797439568,-0.029223816079548492
VOLMGD,1.2190790626948882,0.06073585773727031,0.04982109823378315,-0.10583552673879293,0.9343856877647723,0.046735281404419876,0.05001712035660513,-0.10583552673879293,1.700993547637983,0.08419304000694873,0.049496389991519986,-0.049987409236495806
RISKPAR,1.6615895055858039,0.08384326206173692,0.05045967236786167,-0.1053147848957301,1.6337155283159925,0.08171374620823574,0.05001712035660513,-0.1053147848957301,1.7083052465171606,0.0874965073800132,0.05121830981810677,-0.04529506768428582
