variant,full_sharpe,full_ann_return,full_ann_vol,full_max_dd,is_sharpe,is_ann_return,is_max_dd,oos_sharpe,oos_ann_return,oos_max_dd,2022_sharpe,2022_ann_return,2022_max_dd,n
top1,0.05651384536681502,0.00922550814564201,0.16324332711323933,-0.5102381964932294,-0.06822401110576708,-0.011108177863596594,-0.4982720586549615,0.2633917186491188,0.04317695415649638,-0.3011464690139696,-0.9955549699145125,-0.1653594242436316,-0.2947276096053838,2336
top2,0.8483220467149191,0.11506413564822082,0.1356373279390774,-0.3666392941720482,0.9975247571811967,0.14456241798956473,-0.3666392941720482,0.5555438950694099,0.0658104322188455,-0.14421496423236868,-1.4509543520611223,-0.18454294074816663,-0.2861294500284087,2336
top3,1.1189559401165412,0.13267733819178276,0.1185724418943289,-0.2454208911035909,1.3718473635004427,0.17265407193271237,-0.2454208911035909,0.626918962142229,0.06592761476835621,-0.16083570267827751,-1.4158660133908232,-0.15003692651404296,-0.2074987543514336,2336
top1_riskoff,0.09612782839124598,0.01568238925276722,0.16314099169013743,-0.5133787673137697,-0.004821348525687465,-0.0007842392829974149,-0.5014893616809653,0.26339171864906213,0.04317695415648391,-0.3011464690139535,-0.9187343665241441,-0.15428749163720037,-0.2993876540105572,2336
top2_riskoff,0.8809507943580176,0.11975492130321845,0.13593826360130412,-0.3677233938280754,1.0836259981268064,0.15759064998995442,-0.3677233938280754,0.47827234369251476,0.05658006460456557,-0.1442149642323678,-1.1588400648090196,-0.1504716123691129,-0.26951061912687724,2336
bh_all13,0.9541097590585756,0.3206339698181189,0.336055644305001,-0.6255801087537565,1.1521807375971103,0.4298466288282119,-0.6255801087537565,0.5268307127800587,0.13828003288812363,-0.33187043004004846,-1.283911242933181,-0.4565028592457696,-0.5503348512824191,2336
bh_all13_vt10,0.974806981120839,0.11158941550573497,0.11447334463837013,-0.2447174813162476,1.2329688609072051,0.1438137308106875,-0.2447174813162476,0.5220915950681888,0.05778401589369431,-0.14538445031054648,-1.3315385466034164,-0.14261030822349727,-0.2033432036301277,2336
bh_crypto,0.9524977515755627,0.6060101978061342,0.6362326806585209,-0.854623137566036,1.2201130390594344,0.8538464980326844,-0.854623137566036,0.375570139988153,0.19219438679928852,-0.5919217529624314,-1.2062940092626906,-0.8428565453472404,-0.8041619570064138,2336
bh_crypto_vt10,0.8463558837556315,0.09158337163628079,0.10820905649038257,-0.24136635105697102,1.1104007790054717,0.12221256287040706,-0.24136635105697102,0.38528839537464543,0.04044137347278534,-0.1737633757207664,-1.3646509128922475,-0.1470836912689312,-0.20451406808469053,2336
bh_indices,0.29808485191258427,0.04121351350421948,0.13826101272769697,-0.21663786168024524,0.20773711590970637,0.03127504461870532,-0.21663786168024524,0.503388260848561,0.0578079169804894,-0.15759193078179967,-0.41443215258996874,-0.06394150481710295,-0.15901217926152444,2336
bh_indices_vt10,0.23010230492846193,0.02590127573877994,0.11256417334382011,-0.16893341767239478,0.16299187812918775,0.017770876309356993,-0.15903635374622527,0.33390819424414264,0.03947671981465072,-0.16893341767239445,-0.5661867248587359,-0.05997761742901972,-0.12290317382431815,2336
