symbol,asset_class,full_sharpe,full_ann_return,full_max_dd,is_sharpe,is_ann_return,is_max_dd,oos_sharpe,oos_ann_return,oos_max_dd,best_lookback,best_lookback_sharpe,sharpe_21,sharpe_63,sharpe_126,sharpe_252
BTCUSDT,crypto,1.0806257999914064,0.08582295326534425,-0.08346222685841198,1.3213761825301404,0.10477926428026901,-0.08346222685841198,0.6800968121256007,0.054135115287306364,-0.07415172974747364,252,1.0734403280506988,0.6514365227328484,0.6055261821087644,0.9374567896703091,1.0734403280506988
ETHUSDT,crypto,0.7463956195254391,0.057194883379684945,-0.15653111192425373,1.0527974691302708,0.08141933792894471,-0.14659129726161402,0.22154725375976567,0.016700686472970377,-0.1423180385335976,126,0.7143393629344836,0.24787931126788207,0.5965736904486011,0.7143393629344836,0.64238919315826
SOLUSDT,crypto,1.0460610158709525,0.08150343774132202,-0.1073594481971275,1.6221905321799104,0.13130464966711813,-0.09103213098192697,0.1507234671415242,0.011041837325167047,-0.10735944819712584,126,1.2221111073299917,0.765002446076238,0.7924974976268341,1.2221111073299917,0.3575228473776142
EUR_USD,forex,0.0762458147145501,0.005665949194529824,-0.1368915399498165,0.2184849111271058,0.015806947482847198,-0.08500070593441744,-0.14600026273953892,-0.011312044713975695,-0.0679049103659567,126,0.2857439412197707,-0.1840892944078776,0.06018731849177238,0.2857439412197707,0.03284291193737601
GBP_USD,forex,-0.1300623624787873,-0.009530289401474056,-0.14507335403385802,0.2694411108227983,0.01968073181048138,-0.106574620440398,-0.7940592401893839,-0.0584351926563285,-0.10905698213224413,63,0.07500990869390456,-0.222712373774589,0.07500990869390456,-0.19058440000250776,0.01922539624218271
USD_JPY,forex,0.42788911019909387,0.03355368540052013,-0.1405923603985768,0.9532079643345234,0.0755410374098375,-0.08248854690407925,-0.4789043731269036,-0.03680898998283589,-0.14059236039857792,63,0.7617310931858472,-0.11464261547510271,0.7617310931858472,0.1863081409172939,0.2797506192936085
XAU_USD,forex,0.8210551259267471,0.07043332099152487,-0.17003854530235574,-0.37057949515495203,-0.025943017556222744,-0.17003854530235574,2.173605476553299,0.23163329081531017,-0.05762669958696054,126,0.7548034277589097,0.277729550606165,0.642348675001702,0.7548034277589097,0.598843930897182
SPX500_USD,index,0.6129024968426287,0.04798629516988129,-0.09384566177202192,0.36079996247147833,0.02494065533190122,-0.09384566177202192,0.9451500443000077,0.08654485761724601,-0.06751582774089038,126,0.5563218395532001,0.031133638878517507,0.46396068252100237,0.5563218395532001,0.5423338731728112
NAS100_USD,index,0.7889836519416173,0.06258712481395486,-0.09032897963060493,0.8940257434242105,0.06446355827042236,-0.052701379865355835,0.6596223137896694,0.059447590519476845,-0.09032897963060627,126,0.7880189721183471,0.3450625843204544,0.376459475682377,0.7880189721183471,0.5646476691606526
US30_USD,index,-0.12135164507210344,-0.009229746314467333,-0.15609440653008422,-0.22723057909644825,-0.015208683504217103,-0.15609440653008422,0.008669258451226725,0.0007738476243696485,-0.07526087444138274,252,0.15535198693350763,-0.2544053197921103,-0.3132544937761915,0.1126712096549334,0.15535198693350763
UK100_GBP,index,-0.4466265630856385,-0.03326693718320313,-0.2829691918281402,-1.1213543680361346,-0.07182539576122149,-0.23588186972278868,0.3476722101941804,0.030975916117032484,-0.1191814737509519,252,0.0027642962418059375,-0.45625763752801607,-0.5747151000413674,-0.054190953912578235,0.0027642962418059375
DE30_EUR,index,-0.018478564403182303,-0.0014287675056141968,-0.12870930552793225,-0.2687884712419319,-0.018928291602992794,-0.12870930552793225,0.3209653805534073,0.028161336877225975,-0.12066689905420647,252,0.4079081559341418,-0.5644504174793615,-0.1441810007788027,0.27283176218618116,0.4079081559341418
JP225_USD,index,0.49109185132237215,0.03979439239161157,-0.14428505089386823,0.30137308145693037,0.02139392996215304,-0.14118898969475924,0.7392030367450797,0.07058092661824603,-0.14428505089386867,252,0.7272670184438148,0.3857783521374547,0.02462770497643623,0.19466704565871476,0.7272670184438148
