feat,coef
dow_wed,0.0003297489638219399
rv30_pct,0.0002748719989600456
cum30_sign,0.0002709774178650738
dow_tue,0.0002573532794732589
max_abs_corr,0.00022455401369024847
dow_thu,0.0002013102330895069
dow_mon,0.0001886879533261835
dom_std,0.0001667118443735067
dow_fri,0.00011733692358025888
sh30_TSMOM,0.00010932665138534469
sh30_DEFEND,0.00010850148846814779
sh30_D1REV_NAS,8.659755107076636e-05
sh30_RISKPAR,8.317634287083416e-05
sh30_EVE_XAU,8.212531729145097e-05
sh30_D1REV_UK,8.056716424271679e-05
sh30_XSMOM,7.844078235225625e-05
sh30_PAIRS_EXP,7.822519331273061e-05
sh30_WED_BTC,7.59084722998001e-05
cum30,6.83310482682719e-05
avg_corr,2.411430899410554e-05
