variant,IS_sharpe,IS_ret,IS_vol,IS_maxdd,OOS_sharpe,OOS_ret,OOS_vol,OOS_maxdd,OOS_avg_maxweight,OOS_avg_HHI
EW_baseline,3.0392778749296956,0.3101959203652635,0.10206237571233559,-0.07080484362321238,2.7457671373204713,0.29298828369638763,0.10670543751292323,-0.06325226477671408,0.06666666666666667,0.06666666666666667
Quarter_Kelly_15cap,2.624540246897687,0.25021170745024807,0.09533544312989997,-0.07640799599494608,2.2900209043187085,0.231435588015375,0.10106265299976733,-0.0654139960281972,0.09933647712306394,0.09900145568657434
Eighth_Kelly_10cap,2.6211930760743964,0.249865563263923,0.09532512715092765,-0.07640799599494508,2.285361537431211,0.23107073346955156,0.10110904978705443,-0.06686294652437164,0.09963905236692296,0.09920380986884685
VolOfKelly_damped,2.630357391603694,0.25063905835902084,0.09528707359656914,-0.07157578514228635,2.303573820400257,0.23422851257363647,0.10168048902940655,-0.06904016744526131,0.10254045279307125,0.10134917834353976
Bucket_Kelly,2.398158677944181,0.2195654528867679,0.09155584862090534,-0.07995837062705091,2.6781664844828494,0.2836777923253193,0.10592238905569648,-0.06468347704972599,0.11250000000000002,0.07937003968253967
Kelly_DD_lockout,2.618384572254714,0.24939291360542012,0.0952468618430125,-0.07640799599494563,2.376823574114209,0.24293290331646616,0.10220906000858816,-0.06526544360696807,0.09943120094916373,0.09820312666758534
Kelly_EdgeDecay,2.6187056717759374,0.2495689992672934,0.09530242438358576,-0.07398204089991234,2.3176243653496305,0.23506475687307235,0.10142487298092033,-0.06837247691179227,0.10074423956508542,0.09993529803484169
RP_EW_blend,2.9468545366239343,0.29990874353042507,0.1017724966750533,-0.08200889906809383,2.32370439729307,0.27128532658187005,0.1167469179375379,-0.10873868775576778,0.14739866630890439,0.08307718099942564
QK_75EW_blend,3.179325075266754,0.32496442556962074,0.10221176440800264,-0.07454198931052158,2.6021512694695157,0.2739115956432477,0.10526351748147537,-0.06006998450807133,0.07483411928076598,0.06868759098041091
Bucket_50EW_blend,3.0567043937392753,0.3100111151112317,0.10142005087119144,-0.08634268651854882,2.692468743484115,0.28636245744076944,0.10635683631751654,-0.06389976853913981,0.08958333333333335,0.06984250992063491
VoK_lighter,2.630357391603694,0.25063905835902084,0.09528707359656914,-0.07157578514228635,2.303573820400257,0.23422851257363647,0.10168048902940655,-0.06904016744526131,0.10254045279307125,0.10134917834353976
Kelly_lockout_3pct,2.6579067396236824,0.2509645742819427,0.09442188867675444,-0.08002070471773237,2.331503985236414,0.2395045256210683,0.1027253340065737,-0.07137711220277665,0.09983828661720857,0.09602312789631055
