name,2022_base,2022_blend,2022_delta,OOS_base,OOS_blend,OOS_delta,FULL_delta,corr_2022
1_synthetic_put_SPX,0.557829970212226,0.5728255137494703,0.014995543537244305,2.719276749217625,2.7175699964439954,-0.0017067527736296384,0.0008427833606234891,-0.18725118340960897
2_convexity_lottery,0.557829970212226,0.5021146071937683,-0.0557153630184577,2.719276749217625,2.7024266880720815,-0.01685006114554355,-0.020451390128537916,0.03689466001511912
3_tail_short_SPX,0.557829970212226,0.5259836118128445,-0.03184635839938155,2.719276749217625,2.6899359123539996,-0.02934083686362543,-0.026208047533103684,-0.023582183893341123
3_tail_short_NAS,0.557829970212226,0.52613632436134,-0.031693645850886076,2.719276749217625,2.7022919836605492,-0.016984765557075843,-0.019604815494543182,-0.05876371430579587
3_tail_short_US30,0.557829970212226,0.5581766568656328,0.0003466866534067581,2.719276749217625,2.7137057360153847,-0.005571013202240405,-0.01705745714021978,-0.10937541532197258
4_crash_momentum_SPX,0.557829970212226,0.5607571690857371,0.0029271988735111165,2.719276749217625,2.7191727474983725,-0.00010400171925262214,0.002241362764837884,-0.04698164963944299
4_crash_momentum_NAS,0.557829970212226,0.5225540744508621,-0.03527589576136392,2.719276749217625,2.709893904824273,-0.00938284439335213,-0.004644573896033677,0.008260407469609253
5_range_exit_SPX,0.557829970212226,0.501383289836046,-0.05644668037618006,2.719276749217625,2.6851017222885645,-0.0341750269290606,-0.022376294350233916,-0.039061187645834716
6_risk_off_coordinator,0.557829970212226,0.5854669486778616,0.02763697846563562,2.719276749217625,2.720444052449551,0.0011673032319259313,0.010578933351965247,-0.22230515772875878
7_beta_neutral_safehaven,0.557829970212226,0.5872366164411745,0.029406646228948508,2.719276749217625,2.7626744057652117,0.04339765654758665,0.028504946682126775,0.3622662038026782
