symbol,n_sleeves,oos_sharpe_mean,oos_sharpe_sum,is_sharpe_mean,y2022_sharpe_mean,y2024_25_sharpe_mean,panel_contrib_OOS_sharpe,panel_contrib_2022_sharpe,panel_contrib_IS_vol
US30_USD,15,0.04199173841383141,2.68747125848521,-0.1701168503115889,-0.6617613314639341,,3.769722699909819,4.547583352771301,0.0009702019253058244
DE30_EUR,11,0.04866599901110911,2.72529594462211,-0.013717364651006096,-0.2587768726802842,,3.620439139016517,4.2241621015288455,0.0010023202006547972
JP225_USD,13,0.34216156555786664,19.845370802356264,0.036434186845709725,-0.5596247853156829,,3.543674256588153,3.926321007684019,0.0012119045847172535
USD_JPY,14,-0.05764342128725641,-3.2856750133736154,0.28315626438928937,0.6942749770143665,,3.484927328532811,4.017915416174947,0.0008733273131547686
SOLUSDT,14,-0.15127410839271913,-9.076446503563147,0.47615806499050756,-0.048104571272921226,,3.4821228504779995,4.76929307393126,0.0008046035803234524
ETHUSDT,16,-0.11410007995931112,-7.416505197355223,0.2722407112514658,-0.2703092160175851,,3.4486735113353175,4.687883330761237,0.0009415329302334515
SPX500_USD,15,0.2267887003207713,14.741265520850135,0.10994137551722316,-0.3398428575551722,,3.3703493416630503,1.8577137130650836,0.0015388567507037116
EUR_USD,14,-0.24556273898573341,-13.997076122186805,-0.19871440862331263,0.10724869119429838,,3.311041504853132,2.924833186229935,0.0012728777364429378
GBP_USD,14,-0.3425124126017844,-19.52320751830171,0.027661010125652103,0.1203617509006276,,3.1911322293196522,3.1251867097572146,0.0012992266481984104
XAU_USD,14,0.9235363628562231,52.641572682804714,-0.08179338746091681,-0.12999512575775077,,3.1628991027866227,0.7631637800723793,0.0025267132184421844
NAS100_USD,15,0.17295191045699454,10.895970358790656,0.23873682670502297,-0.2608869420980738,,2.817892057874686,2.2337074026282515,0.0020747011322202425
UK100_GBP,11,0.15052238549294877,8.429253587605132,-0.25580835724099954,-0.8191828140437674,,2.76441356012629,3.2551273636420155,0.002153013586175045
BTCUSDT,16,-0.1703703497588203,-11.244443084082139,0.26165139109454794,-0.37694591964145346,,2.580858251081804,1.0923403233101991,0.002720858254052601
